Dyad,Arousal_P01,Arousal_P02,Arousal_Either,Arousal_Both,Physio,Transcripts,OpenFace_P01,OpenFace_P02
D02,True,False,True,False,True,True,True,True
D03,False,False,False,False,True,False,True,False
D04,False,True,True,False,True,True,True,True
D05,True,True,True,True,True,True,True,True
D06,False,True,True,False,True,True,True,True
D07,True,True,True,True,True,True,True,True
D08,True,True,True,True,True,True,True,True
D09,True,True,True,True,True,True,True,True
D10,False,False,False,False,True,True,True,True
D11,False,False,False,False,True,False,False,False
D12,False,False,False,False,True,True,True,True
D13,False,False,False,False,True,True,True,True
D15,True,True,True,True,True,True,True,True
D16,True,True,True,True,True,True,True,True
D17,False,False,False,False,True,False,False,True
D18,False,False,False,False,True,False,True,True
D19,False,False,False,False,True,False,False,False
D20,True,True,True,True,True,True,True,True
D21,True,True,True,True,True,True,True,True
D22,False,False,False,False,True,False,False,True
D23,False,False,False,False,True,True,True,True
D24,True,True,True,True,True,True,True,True
D25,False,False,False,False,True,False,True,False
D26,False,False,False,False,True,True,True,True
D27,True,True,True,True,True,True,True,True
D28,False,False,False,False,True,False,True,False
D29,True,True,True,True,True,True,True,True
D30,False,False,False,False,True,False,True,True
D31,False,False,False,False,True,False,True,True
